Summary,Description
Registro e inicio de sesión,Permitir que los usuarios se registren y accedan a la plataforma con email y contraseña.
Roles: admin, profesional, cliente,Implementar el sistema de roles para controlar qué puede ver y hacer cada tipo de usuario.
Onboarding de nuevo tenant (nombre, logo, slug),Flujo inicial para que un nuevo negocio configure su cuenta: nombre, logo y URL pública.
Invitar miembros al tenant y asignar roles,Permitir que el admin invite a otros usuarios al tenant y les asigne un rol.
ABM de profesionales,Crear, editar y desactivar profesionales dentro de un tenant.
ABM de sucursales,Crear, editar y desactivar sucursales o sedes del negocio.
Asignar profesionales a sucursales,Asociar uno o más profesionales a una o más sucursales.
Configurar disponibilidad por profesional (días y horarios),Definir los días y rangos horarios en que cada profesional está disponible para recibir reservas.
Bloquear días / ausencias por profesional,Permitir marcar días o rangos de tiempo en los que el profesional no estará disponible.
ABM de servicios (nombre, duración, precio),Crear, editar y eliminar los servicios que ofrece el negocio con su duración y precio.
Asignar servicios a profesionales,Asociar qué servicios puede ofrecer cada profesional.
Crear reserva desde el panel,Permitir que admin o profesional creen una reserva manualmente desde el panel interno.
Editar y cancelar reserva,Permitir modificar los datos de una reserva existente o cancelarla desde el panel.
Estados de reserva: pendiente, confirmada, cancelada, completada,Implementar el ciclo de vida de una reserva con sus posibles estados y transiciones.
Email de confirmación al cliente,Enviar un email automático al cliente cuando su reserva es confirmada con los detalles.
Recordatorio automático por email antes de la reserva,Enviar un recordatorio al cliente X horas antes de su turno (configurable).
Vista de calendario semanal/mensual para admin y profesional,Panel interno con vista de calendario que muestra todas las reservas del negocio.
Filtro de calendario por profesional y sucursal,Permitir filtrar la vista del calendario por profesional y/o sucursal.
Página pública de reserva por tenant (/[slug]/reservar),Página accesible sin login donde los clientes pueden ver disponibilidad y hacer una reserva.
Flujo público: elegir servicio → profesional → fecha → datos,Wizard paso a paso en la página pública para completar una reserva.
Integración con Mercado Pago / Stripe,Conectar la plataforma con un procesador de pagos para cobrar señas online.
Seña configurable por servicio (monto o porcentaje, opcional),Permitir definir si un servicio requiere seña y cuánto (monto fijo o porcentaje del total).
Retención de porcentaje de plataforma sobre la seña,Descontar automáticamente el porcentaje de la plataforma del monto de la seña cobrada.
Webhook de pago para confirmar reserva automáticamente,Escuchar el webhook del procesador de pagos y confirmar la reserva al recibir el pago.
Política de cancelación y devolución de seña,Configurar por tenant si se devuelve la seña al cancelar y bajo qué condiciones.
Dashboard con métricas: reservas del día, semana, ingresos,Pantalla principal del panel con resumen de actividad y métricas clave del negocio.
Listado de reservas con filtros,Tabla con todas las reservas filtrable por fecha, profesional, estado y sucursal.
Historial de reservas por cliente,Ver todas las reservas pasadas y futuras de un cliente específico.
Exportar reservas a CSV,Permitir descargar el listado de reservas filtrado en formato CSV.
Landing pública del tenant con info y CTA,Página pública con la información del negocio y un botón para iniciar el flujo de reserva.
Widget/iframe embebible para sitio externo,Generar un snippet que permita incrustar el flujo de reserva en cualquier sitio web externo.
Configuración del tenant: logo, colores, descripción,Permitir personalizar la apariencia de la página pública del tenant.
Configuración de métodos de pago por tenant,Que cada tenant pueda conectar su propia cuenta de Mercado Pago o Stripe.
Multi-tenancy en base de datos,Aislar los datos de cada tenant a nivel de base de datos para garantizar seguridad y escalabilidad.
Rate limiting en endpoints públicos,Limitar la cantidad de requests por IP en los endpoints de reserva pública para evitar abusos.
Logs de auditoría,Registrar qué usuario realizó cada acción importante en el sistema (creación, edición, cancelación).
